,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX
76,35145ECE010    ,2023,38,5.958333333333333,0.2,0.18333333333333332,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.62375,4.516666666666667,三共鋼業（株）,24,4.036538461538461,4.81455544482452,0.0,0.6234486519129675
77,35145ECE010    ,2023,39,6.991666666666666,0.21666666666666667,0.19166666666666668,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.7272222222222222,4.387222222222222,三共鋼業（株）,18,2.657264957264957,5.816215896455181,0.0,0.6708050795686805
78,35145ECE020    ,2023,36,5.908333333333333,0.19166666666666668,0.20833333333333334,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.4615384615384617,2.1926923076923077,4.865384615384615,（株）浅賀井製作所,26,3.373372781065089,6.164269042220929,0.13,0.7749767707044211
79,35145ECE020    ,2023,37,4.825,0.2,0.19166666666666668,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.3846153846153846,2.3134615384615382,4.62,（株）浅賀井製作所,26,3.5591715976331355,5.301382204935504,0.13,0.7215080359006539
80,35145ECE020    ,2023,38,5.1,0.18333333333333332,0.18333333333333332,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.6538461538461537,2.2128,4.54,（株）浅賀井製作所,26,3.4043076923076923,5.702274201122565,0.13,0.7219425315044499
81,35145ECE020    ,2023,39,6.541666666666667,0.2,0.2,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.4705882352941178,1.6847058823529413,4.081176470588235,（株）浅賀井製作所,17,2.5918552036199096,8.136484667924117,0.13,0.6988334740800195
82,35165ECE010    ,2023,36,6.616666666666666,0.08333333333333333,0.10833333333333334,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,4.215,2.341,（株）松尾製作所,10,6.69047619047619,12.789264491654116,0.0,0.43395620063378465
83,35165ECE010    ,2023,37,4.166666666666667,0.09166666666666666,0.09166666666666666,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,3.4292307692307693,2.2946153846153843,（株）松尾製作所,13,5.443223443223443,8.216494777595921,0.0,0.3921258273627471
84,35165ECE010    ,2023,38,4.791666666666667,0.10833333333333334,0.1,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,3.5246153846153847,2.2915384615384613,（株）松尾製作所,13,5.594627594627594,9.461656431622668,0.0,0.40375453293688035
85,35165ECE010    ,2023,39,4.375,0.08333333333333333,0.09166666666666666,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,2.5383333333333336,2.0508333333333333,（株）松尾製作所,6,4.029100529100529,9.65284685436704,0.0,0.37056732068622933
